Id,Tweet,FAUX
266,tum jaise patrakar bhi kaafi zimmedar haikyuki tumdinn pehle indian dr ko china se apne karyakram mey laaye thhe jisne bade thhok ke kaha thhabharat meymay ko corona virus khatam ho jaayegapls desh ko aise faltu experts so bachao aur t,Fake-NonHate
1,lana shuru kar diya gaya thachina mein jaise corona virus phaila tha waise hi students ko laya gaya tha video b padi hai pakistani student ki indian government ko praise karte hue,NonFake-NonHate
1452,jamaat walon ko corona hai matlab kuch bhi unki kitni hai tum jaante bhi ho,Fake-Hate
3602,sayema jaise ghatiya log hamesha pakistan ka sath dete hai kashmir me militants ko support krte hai aur ab khulkar khalistan k support me aa gaye hai real farmer protest ko sabhi support kr rhe hai lekin esme chupe hue khalistani logo ko say,NonFake-NonHate
4582,yeh banda toh fake farmers protests me banana aur free wiifi baat raha tha unke liye bed and aur khana ka praband bhi kar rahe the tab nahi socha covid ke liye kuch karne ko,Fake-Hate
6569,aadmi ki acting achi hai,NonFake-NonHate
2752,jamaat bhi registered hai bhai crores ki sampati aur registered bhi nahin videshi aatain hai corona phailata hain aur aap shor machate hain police aur medical ko pitate hain woh bhi jayaz hai kyonki hum sickular hain aur hamare liberal aapke l,Fake-Hate
839,desh ka satyanash to tablighi jamat kar rahihecorona faila ke,Fake-Hate
15,badle me god ne corona virus ese he thodi diya tha bhai china me,NonFake-NonHate
3911,hindusunderattack in bangladesh,NonFake-Hate
2284,corona se zyada zeher to aap me bhara he sabhi doctors ne checkup ke bad bataya ke tablighi me se kisi ko corona positive nahi he lekin aap jese logo ke ghar me khana nahi banega agar apne ye zeher nahi phelaya to theek kaha na,Fake-Hate
6920,jisladkikebapbhaimadeeniislamkopadhanahiaurbetikocollageuparsemobilehathmaiwoladkihamjaiselafkodostitodurbattaknahikartitowahihinduladkiyansabkuchhkarnekotaiyarhotihaidosthobasaakhiratmaimuhdikhanahai,Fake-NonHate
1859,bilkul unke wajah se case bht teji se upar aaye hi pr to hi nhi ky corona india me tablighi jamaat wale laye the wo laparwahi unse hui hi o galat h,Fake-Hate
9,donald jtrump desh bhakti ka jajba jitna aap ke ander ha utna kisi anya opposition political me nahe ha jinone corona virus ko seedha china virus bolker use dunea me virus felane ka jimmedar thera deya mrjoe sab jante hue ak word bhe china ke khelafat me nahe bole,NonFake-Hate
4499,caa kya wapas huashaheen bagh pai dharna kerke kuch ukhad payefake farmers protest karke kya so called kale kanoon wapas hueabhi aur andolans andolanjivis ko kerne padengenpr aur nrc bhi hogauccpopulation control actabhi aur burnols ki,Fake-Hate
5039,isko sab tag karo jyada ho rahi thi pathaan ke waqt dekhle south industry bhi hinduism ko galat way mai dikhati hai phir usko boycott kyun nahi karte,Fake-NonHate
6399,nai tumko bhagwa trap me nai fasaenge kyuki tumko tumhara shohar aur uska bhai uska abbu k sath ilu ilu krne me jo maja aata hai wo sanatan me nai hota hai aur hum sanatani second hand chiz use nai krte brjai shree ram,Fake-NonHate
1040,tablighi jamat bina corona kahan aur arvind kejriwal bina tablighi jamat kahan ek mudra ke do sikke,Fake-Hate
6218,isis propaganda,NonFake-NonHate
6936,assalamu alaikum wa rahmatullah wa baraktuh first comment,NonFake-NonHate
5956,chambal ke daku ban ke ghum rhe h ghar me mamu bhai sab tunhare leta hoga molvi halala kr dega muje hub h ye bus,Fake-NonHate
5625,haan aap jaise log kaise gumrah ho sakte ho k note par nano gps chip hogi bolke sarkar k talwe chatkar janatako gumrah karne waale ko support karne waale gumrah ho hi nahi sakti kyonki woh log pehle se hi gumrah ho chuki h,Fake-NonHate
7398,shame shame kya ye mera india hai shame,NonFake-NonHate
340,mujhe toh sapne aate hai ki corona virus ki vaccine agar bann gaya toh uske baad china ka kya haal hoga,NonFake-NonHate
122,kya kiya saalo me petrol diesel k daam badhaye are jao china se gand fatti h aapke modi ki aur khudko inchi kehte h corona virus india me modiji ki wajah se aaya aur pehla pmcares fund jai,Fake-Hate
2754,agar padhna aata ho to padh kar samaj jayega cases ye kis asharam se nikli hai aur dekhte jao abhi aage sab tablighi to hospital mey hai fir kaun faila raha hai cor,Fake-Hate
5858,k note me nano gps chip wale hi aisa news bata sakte hai aur dalali karr sakte hai,NonFake-NonHate
1091,pehle tabliki jamaat ki jimmewari thi ab punjab ki hogi lakh log corona positivebas enhi reasons se hue hain,Fake-Hate
3981,jinka ghar chootta hai sirf aur sirf wohi is takleef se waaqif hain baaki sab kuch bhi kahein us khaalipan ko mehsoos hi nahi kar sakte hindulivesmatter hindus hindusunderattack kashmiripandits kashmiri kashmir kashmiripanditemployees,NonFake-NonHate
1373,corona ko dharm se nahi bandha mam dharm ke thekedaro tablighi ne kitno ko marne per majboor kiya corona ko desh me lake oh batarahehe rajat jiiii,Fake-Hate
6019,mullo ki maa bhosda,Fake-NonHate
1318,tumhara bail kabtak hai tihar kab ja rahe ho tum bhi to tablighi ki tatah corona faila rahe ho,Fake-Hate
623,corona thodi fela rahe woh tablighi nai hai ye,NonFake-NonHate
1420,sahi kaha abp kutte log tum jamaat ko itna banam karte ho jese unhone bomb bana diya corona ka jakar chaina walo ko pakro himmat ho to,Fake-Hate
4029,nam ginado apne logo ke jinka naam desh ko azad dialne me hai main apne logo ka gina dunga sayad app gin na paoge aur jo desh mein rahakar bam fodate unka bhi naam bata dena kasmir se like kanyakumari tak hindusunderattack hindu hindustan,NonFake-NonHate
7911,isko ko bihar police ko goli mar k k gattar mei fake dena chiye jaha dekho shaktiman bankar firta rehta tha ye dekho wo dekho m,Fake-Hate
2664,prashasan muslim ko hi badnaam kar raha hai aaj nausena bsf cisf sadhu santo ke bich corona nikal raha ye kaunse tablighi jamat ke sampark wale log hai fir kyu muslim ko badnaam kar raha dhanbad prashasan apki sarkar kaam thik kar rahi hai bas dukh itna hai bjp wala setup,Fake-Hate
6999,muslim community ka yahi kaam h,Fake-Hate
3106,rahi baat jamaat ki to govt ne bola tha kya corona hone ke baad ja kr madrso me aur mohallo ke wo v padhe likhe logo ke sath chupne kijahil ktna smjhaya ki bharat ke log ache hai glti maan kr samne aa kr ilaaj karate to koi crit,NonFake-NonHate
6963,ye kam to ak hi admi kar sakta hai,NonFake-NonHate
3218,pehle toh samjh nhi aa rha ki corona kaha se aaya jamaat se ja nri leke aaye aur china mein bhi jmaati ke log rehte hai kya educated log bhi kya baat kar rehe hai lag hi nhi raha yeh reporter hai aanp,NonFake-NonHate
1411,apne un abba ke liye bhi kuch bol lo jo tabliki jamaat ke log hain jinone pure desh main corona falaya hain jabardasti,Fake-Hate
3316,g tumhare masjid ko hats k mandir bana rahy hy corona viraus pori duniya mai geya lekin india mai jab geya kehty hai ky tablighi,NonFake-NonHate
7346,saala inn police waalon se chorr teekh se pakda nhi jaata aam aadmi jo mehnat karr ke khaate hai unn loggon ka uper aatyachaar karte hai sabko naukaari se nikalna chayiha,Fake-Hate
890,jamaat ko corona warriors kahne wale wahi hnjo rahul gandhi ko desh ka pm samajhte hn,Fake-Hate
6265,yeh aurat toh openly dusre non muslims ke religion ko shaitan ko follow karnewale keh rahi hai,Fake-NonHate
7105,log akal se kam le govt ki trf se kari ja rhi dharam ki gandi rajneti se bachey sabhi,Fake-NonHate
6904,mujhe kabhi kabhi lgta h ki yhi sb devils h dharti p,NonFake-NonHate
2070,lekin bharat me kuch musalman jo tabligi jamaat se judde hai wo jaanbujh kar corona virus india ke har city me faila rahe hai amp doctors pe attack kar rahe hai uske baare me bhi kuch bol lo saale bhaddwe,Fake-Hate
7876,south indians should be treated like dogs inko sar pe bithao toh bakchodi kar rahe inko aisa maaro west north and east india mei inko chhodo telugu kannada walo ko bhi bajaa daalo,Fake-Hate
4817,firse zinda ho gye boycott valepathaan ne jo khulke mari tum logon ki bhul gye kyakoi nhi jawan ka promotion start kardo,NonFake-NonHate
197,wah re godi media tuj c grade ho china udhar ghuskar india ki jameen dakhal kar liya hai aur tum sarkar ki ye nikammipan chupaney ke liye pakistan ko yaad kar liyasudhar jao warna corona virus tumharey picha nahi choddega,NonFake-NonHate
4546,sir kya ye crime against india nahi hai nrc anti farmers protests greta toolkits aur ab congress toolkit fake news false narratives jisko aap gidhha patrakarita batate hai in par koi bhi action nahi hota sar,Fake-NonHate
7070,op thumbnail ankur bhi,NonFake-NonHate
416,in jaise afsar ko china border par chodkar mouth me corona virus dalkar nanga kar ke chod dena chahiye,NonFake-Hate
2184,jamaat wale leader ka bhashan hai vedio jisme wo bol raha hai ki agar marna hi hai to masjid mai maro khud gayab hai itne logo ko corona karvakar fruit vegetables bechne walo ke vedio hai thook lagate hue itna jaati hai,Fake-Hate
7868,sari state de sare chutiye insaan apne app nu maahan te duje nu maada keh rhe aa sale pagal log bai ral mil k rehna sikh lo awi ek duje nu kyu nindi jane o apni language te apni state nal sareya nu pyaar aa par ehda mtlb eh ni ki duje state loka nal nafrat karn lag jao,Fake-Hate
4662,jo farmers itna sab afford kar sakte hain unhe bill se problem kaise ho sakti hai fakefarmersprotest,Fake-Hate
433,china ka maal chalay to shaam tak nahi to shamshan tak china ka corona virus shamshan ke saath bhi shamshan ke baad bhi b se gali hai dil ki bhadas chinacoronavirus covid covidindia,NonFake-Hate
2819,one more thing mr raj agar desh main modi aur up main yogi ki govt na hoti toh secularism ke naam par tabliqi jamaat ke saath poori muslim community desh ko corona se full kar deti aur aapke jaise pseudo seculars ghar mein chudi pehan kar b,Fake-Hate
5301,abe stocks ke bare mai pata bhi hai shares kyu girta hai short selling kya hota hai padh ke aa basically hindenburg apne hi fayeda ke liye adani ko target kia,Fake-NonHate
2700,kuch dino pehle ki hi baat hai mai bike ka puncture banbane gaya hua tha woha wo punchre wala naa kewal tablighi ka samrthan kr raha tha balki sarkar ko gaali dete hue bol rha the corona ek sajish maine use aaina dikhaya aur use beijjat,Fake-Hate
5661,yeh wohi tihadi hai jisney k note par gps nano chip lagwaya tha internet se love jihad ka chart uthaya tha aur cheeni fauj ko geedad batlaya tha,NonFake-NonHate
3545,bro yeh khalistan jaisa kuch nahi hain tu sab farmers ko khalistani bolke protest ko badnaam kar rahan hain,NonFake-NonHate
7485,jab account fake nikla tab kya karne ke liye vdo banaya apne mtlb dukan chalti rhe,NonFake-NonHate
5577,wale note me nano chip gps g aur hindu nazism bhi hai,NonFake-Hate
1109,aaj desh me corona k failane ka karan muslim aur tabliqui jamaat hai be su ar galat tathya mat diya kar,Fake-Hate
5925,tu to molbi ke,NonFake-NonHate
7818,ham log bharat mein nahin rahenge hamen apne alag desh chahie bharat mein ham log nahin rahenge ab mod,NonFake-Hate
5703,ke note mein jo nano gps chip lagiu huwi hai na usey apne peechu daal lo waise bhi sharam toh hai nahi aapko,Fake-Hate
6585,ye jo background music bajta hai ye sala aatankwadiyon ki tune hai jahan bhi sunai de wahan se nikal aao bas,Fake-NonHate
5304,both mc bhagwant and fattu amritpal eat kasam of bhagat singh,NonFake-NonHate
3711,ye farmers protest main khalistan khalid saifi sarjil imam umar khalid delhi riot sahinbagh ki baat kyun chal raha hai aur unki rihai ki baat kyun kya ye sab farmer hai kya sir ji plz answer,NonFake-NonHate
1196,ye neha ki aad me jahil corona jamaat ka iqbal bhi ho skta hai,Fake-Hate
2580,aapko pata rhna chahiye ki aur sab log jo dusri jagah teerthreligious tour par gye thhey government ke corona message ke baad sab waha se chale gye but tabligi jamaat ke log masjido me hi jama rahe gajab hai kuch jal ke paalghar incident par v bolo hai himmat,Fake-Hate
4488,modhalla andha fake farmers protest ah thadukka sollu unnoda modi ji ahthodai nadungi chaiwala pm dhaan avandesathai oruginaithu kilipaan unga chaiwalathuuu,Fake-Hate
605,tablighi jamat me jayega corona phelane ke liye,Fake-Hate
3591,aur agar vardi pehan kar bjp kien aadmi gayen hai toh aur kar bhi kya saktien hai jab khalistan samarthak kisan ban kar utar saktien haitoh yeh modi hai police ki weakness ko strengthen karna aata ha uskopehl,Fake-NonHate
881,rahulji ne tabliqi jamaatio pe kuch nahi kaha desh ke sare corona case me tabliqi jamaat ke hai,Fake-Hate
1220,jara btayengi ap dusre deshon me kis jamaat se corona faila haimind ka balance banakr kuch bhi bola kijiye,Fake-Hate
7558,its not pakistani but islamic,Fake-NonHate
5004,sahi pakde hai bhai filhaal srk aur pathaan ke naam se pel raha ho modi ke bhakto ko aur boycott gang ko,Fake-NonHate
2174,taaza samachar hain ki arogya setu ka ramsetu se gahra sambandh hain isliye rahul aur obaishi ne ise secularism ke liye khatra samajh liya hain inki secular jamaat corona se mar sakte hain secularism ki kimat per,Fake-Hate
5307,lagta hai nasha bandi sirf janta ke liye ki gayi hai bihar mein police department ke tweet to yahi bata rhe hain hafte se behke behke tweet dhamki paise jabt karna ka ho ji tabiyat thik hai na,Fake-NonHate
5122,kahan bil me bait k rr kar raha hai be bahar aa suar ki aulaad sanjeev takle pathaan ne cheel haran kardiya tere boycott ka bhikmanguae,Fake-NonHate
2025,cchup bhe jamaat ki baat isliye uthayigayi kyuki corona kit ghotala chupana tha sarkar ko matrix company ke sath jo milkar kiya tha pooch tere baap se ghotala kitna crore ka hai,Fake-Hate
7124,mujhe ye samajh me nahi aa raha k agar woh masjid v hota to musalman kaise doshi hote iska matlab aage jaake agar koi durghatna ghatti hai aur waha masjid hota h to us durghatna ka seedha jimmedar musalman hogabrgajab hai ye andhbhakt aur gajab hai inki soch,Fake-NonHate
5203,pathaan ne takle aur boycott gang ki ga faad di,Fake-NonHate
4623,bilkul sahi abhi momtta begum ka neend ud jaayega sab parties ko bulayegi aur fake farmer protest ko bandd kr denge agle hafta secret mat reveal karo bhai,Fake-Hate
3542,mai farmers ke khilaf nhi hu pr jo khalistani supporter hai uski jagah india me nhi hai saal tak protest nhi hota agar modi tumhare bare me nhi soch rha hota khalistan ke baato me akar farmers ne hinsa,Fake-Hate
1707,tablighi jamaat bhi aagayi kisi ko toh chod de bhaisaad ne corana phelaya shayad corona made in nizamuddin hai koi bhi bhagwaan ke chahe bager nahi phelti,Fake-Hate
1159,kiya na tablighi jamat walo ka bachav aur corona failane me help kya baat karte hai sahab aap bhi ki inhone kuch nhi kiya,Fake-Hate
4797,pathaan jawan aur dunki ka jalwa apko agle saal dikha denge prachi ji pathaan ka boycott karne ke liye shukriya,NonFake-NonHate
4130,bhaii jaan kisi bhi ki jaaye wo insaan ki jaan hai but har chiz ko religion ki nazar se dekhna sirf up ke bareilly m jan july m case hue h love jihad ke uske baad dumka m jo hua hindusunderattack,NonFake-Hate
6761,ye kya chutiyapa hai,Fake-NonHate
4372,bhopdike pehle farmers protest mei meddle karke munh ki khayi aab is fake hashtag run genocide mei khayega rihanna se kab post karwa raha hai aur woh ramp pornstar se bhi waiting for to join the bandwagon,Fake-NonHate
4234,fansi honi chahiye shahrukh hussain and noor mustapha ko hindusunderattack hindulivesmatters justiceforankitakumari justiceforankita,Fake-NonHate
5115,jab se pathaan ne bhakton ki bajae hai tab se twitter per boycott gang gayab ho gaye hai,NonFake-NonHate
3967,dhendra shastri ko arrest ker tab hi thik hai jab bajinder singh to bhi arrest kerne ka guudaa hoo yeh doogalapan theek nahi hai hindusunderattack hindus biblebuild hinatahyuga,NonFake-NonHate
6520,tumhari bhi gharwapasi karana hai,Fake-NonHate
1870,ye haal hai inka tablighi jamaat jihaadiyo me ye kida hai unhe koi roke to us kaam ko or bhi shiddat se krte hai jaise they spreading corona jihaad,Fake-Hate
6130,tomhara madarchod allah saitan hey kew ki iblish jeen thabut allah ne iblish ki dil mey jake adom ko sejda nehi koraye aur iblish saitan bana allah hi saitan hey madarchod muslim mahazab ki animals,Fake-NonHate
6240,ye kb aaya,NonFake-NonHate
7245,kya galat hai desh ke gaddaroon ko goli maaro mei tho yeh kahoon ki seedha gaand mei maaro,Fake-Hate
4576,hr bhi nahi hue lg ko sara kiya dhara lg pe kejriwal ki phir photo laga lo ghar pe pooja karo free ki bijli paani k liye delhi dango k liye fake farmer protest k liye high court k judges ko bribe dene ki koshish k liye,Fake-Hate
4960,pathaancr celebrate to aise kar rahe jaise tumhe bhi mil jayega titfortat ke chakkar mein ghanchakkar mat bano yaar na boycottpathaan wale boycottgang ko kuch mila hai na pathaancrores celebrate karne walo ko kuch milega sudhar jao bhai sosorry,NonFake-NonHate
905,sahi mane me to sabse jayada corona se tablighi jamat lad raha hai chamcho,Fake-Hate
1447,bilkul sahi bola hamid sahaab ne yeh virus savi jaga faila hai corona ko tv channels ne tabliqi jamaat se jorkar aage barah di hai,Fake-Hate
7501,my heart king kohli,NonFake-NonHate
7279,in charan chumabko ka kam hi yahi hai,Fake-NonHate
5167,gawar log imbd par pathaan ko rating de rahe hai jab hamne thearter mein movie blockbuster bana di toh imbd pe kyon peeche chode sabhi bhai boycott gand ki bawasir badhane ka kaamkare aur rating de pathaan,Fake-NonHate
6471,kuch bhi mtlb naya word hi nikal diya apne man se or hypocrisy to dekho inki,Fake-NonHate
2717,bas dikhadi aukat tum log achche se jaante ho ke tumne saari baat jamaat ke upar nhi daali to or koi bahana to hai nhi tumhare paas doctors ko samaan de nhi paa rhe ho or kehto ho,Fake-Hate
6077,jai sree ram pade hanuman ur sunghe musalman brkattuwa ur kasayi majhab nhi sirf sanatan dharm hota h jai sree ram,Fake-NonHate
1566,kunalkamra sara media pareshan hai ki gujrat ko kaise corona amp tableegi jamat ka connection miley jaise hi koshish karte hain baar baar americee jamaat mil rahi hai,Fake-Hate
3788,maamitne saal aap log ne commission pe zindagi jee leeabhi kisan ko apni marzi se jene doaap kisi ko bi kisan ki nahi apni commission ki padi haiaur farmers protest me khalistan ki pakistan taraf se,NonFake-NonHate
7530,aagya quont apne baap ko defend karne,Fake-Hate
4208,ham hindu hai mulla nahi sale ye log to katua hote hai hindutva hindurashtra hindusunderattack hindulivesmatters rss hindutva,Fake-NonHate
3559,yeh sab kaam bjp waale kar rhe h khalistan koi nhi maang rha yeh propoganda bjp ne banaya to break the protest rape jisne kara usse saza do iska matlab yeh hogya ke saare farmer rapist hogye phir to p,Fake-NonHate
5068,dil ko tasalli dele beta abi tere jse boycott gang ke muh pr jhoota to pad hi gya h pathaan k hit hone se ab aur insult krwane ko doosro ki post me na ghus,Fake-NonHate
7212,andhbhakt be like ye bhi chal fel ho gaya,Fake-NonHate
2587,yaha par saaf saaf tum talibani jamaat keh rahe ho aur mukar rahe ho aur tum tay karne wale hote kon ho ke tablighijamaat ne corona felaya hai jab pehla case india main aaya tha woh kaha se aaya tha kyo tab sabhi international fl,Fake-Hate
3699,o chacha mai khud ek farmer ka ladka hu smjhe or khalil imam pe desh droh ka aarop hai chacha or chacha farmer protest me khalistan ki maang kaha se aagai,Fake-Hate
6957,youtuber hoga braaj dekhte hai ki slender ka kya hoga ke niche rkhne se,NonFake-NonHate
6058,tum musalman larki o dek k hi ghin ata hai sala penguis tumhe hum hindu larka ghum k bhi na dekhe hindu ka choro tunhara khud muslim bhai hindu christian larki pataraha hai sharam kar bolne sa pehle,Fake-NonHate
1759,aur wo jamaat wale nahi hai na warna abhi to kuchh aur hi scene hota waha koi corona ka patient nahi paya gaya corona waha pe koi pandemic bimari bhi nahi hai bajao taali,Fake-Hate
2961,kyukijahil jamaat hamare desh mein hi haiand sabse badi baatinke supporters har opposition parties mein hain and inko defend karne wale tv debates mein roz dikhayi dete hainin jahilo ka bohot bura haal hogacorona to chala j,Fake-Hate
6684,da allah surah number aayat da lesson,NonFake-NonHate
3246,ab madarsachaapo ko koi batao jamaat wale bhahar desh se corona lekar aaye the bas itna hi nhi jammaat ke baad gaamd utha kar pure bharat me ghum ghum ke corona failaya bas itna hi nhi thuka bas it,Fake-Hate
6948,koi youtuber experiment kar raha hoga,NonFake-NonHate
6709,islam ek bimari hai kaash chaina jaisa dawai saari duniya karna chalu kare,Fake-NonHate
7035,jay shree ram,NonFake-NonHate
255,kharab modiji ke karan nahi corona virus se hua jo china ki den hai pure world ko,NonFake-NonHate
3892,hindusunderattack sbhi ko modiyabind ho gya h kisi ko kuch nhi dikhayi dega,NonFake-Hate
1114,agar tablighi hote to corona warrior pe spit karte unhe attack karte fir kya unki aarti karte,Fake-Hate
2923,babita tu bhi kaan kholke sunley jo yeh teri bakwas hai na ke tableeqi jamaat k wajah se corona fail raha toh kya kanika kapur ne jo sabko bulake nachwaya kyu woh b tableeqi jamaat se thi kya aur yeh virus koi dharmjaat paat dkh kr na,Fake-Hate
222,itna bewkuf to nahi hai duniya ye china isly kar raha taki duniya k najar china se hat jaye jo usne corona virus se failaya tha india ko distrb china isly kar rha taki logo ka corona se dhyan hat jaye china ko le kar,NonFake-Hate
268,jis tezi se corona ke mareez barh rahe heto hame is dua ko ziyada se ziyada share karne ki zaroorat he plz share as much as possible chinese corona virus se hifazat ki dua how dangerous is chinas wuhan via,NonFake-NonHate
108,haan bhosdike usi corona virus ko maarne ke liye ab poora world ikattha ho raha hai ab saari countries saath mil kar tere china ki maarengi aur tera pakistan jo ek gulaam kutte se zaada kuch nahin ba,Fake-Hate
5352,bbcdocumentary baare mein adanihindenburg ke baare mein press meet rakne ka modi ko himmat heyagar nahi hai faaltu wohi hai simple modiadanibhaibhai,Fake-NonHate
1227,yes maam agar tablighi jamat me ane wale foreigners ko visa nahi mili hoti then corona to hota hi nahi indiafightscorona,Fake-Hate
2230,tumhara matlab ye corona viruschina se tabligi jamaat wale zaan buj k laye hai india mai fahlane k liye thora sa toh dimag lagao or socho ye bimari kisi ko v ho sakti h,Fake-Hate
4705,inka bhi shaheenbaug honewala hai aur darzano me sardar ki zargarwalia niklengifakefarmersprotest,Fake-Hate
6208,muslim larki abi hindu larke ka sath ya alla,NonFake-Hate
5689,ye bhi padha ye to cover up krne ke liye tweet kiya hai clearly likha hai pehle tweet me koi aur galat kyu samjhega ab logo ne pakad liya to bol rhe ki mujhe badnaam kar rhe ha ha janta bewakoof nhi hai pehle bhi pagal bn,NonFake-NonHate
1513,jitna time aap tabligi jamaat pe de rahe ho utna apne area me dete to delhi me corona ko aur ache se rok patekhairr sabhi ek thali k chatte batte hai,Fake-Hate
4880,wo sab choro ye btao boycottjawan kab se trend kare jaise boycott pathaan karke pathaan flop karwa diya waise hi jawan ka karege ye bhi flop ho jayegito kab karna hai ye btaiye,NonFake-NonHate
1996,jo virodh karta h wahi sabse phale lega ye dawa but virodh to aise karte h jaise unlogo ko corona hoga hi nhi jamaat k time ye sab log support kr rhe the jamaat ka ab dawa ban gya h to virodh kr rhe h,Fake-Hate
304,modi ji china ne hi corona virus ko banaya hai jisake kayee pramaand mile hai,NonFake-Hate
1935,abhi tak yah samajh mein nahin aaya ki jamaat wale logo ke liye sarkar ne kya kadam uthaya hai unka ilaaj karva rahe hain taki dusre bar fir vahi kam karen jo abhi kiya hai corona failana,Fake-Hate
4100,tum paisay k liye kuch b karay ga dik gaaya indiatv pay hindusunderattack,Fake-NonHate
2119,namaste trump ka asar ab dikh raha hi gujarat mecorona ke saath tabliki jamaat to ek bahana hi american trump ke sath india aye aur kisi ki screening nhi ki gyi thikhair bewakoof janta ko aur bewakoof banaya ja ra hi,Fake-Hate
2224,tablighi corona badha rahe he chaio hum milke desh jalaye or desh todejooth felae or danga karvaye kyun ranaji augsaffronday augvijaydiwas augramrajyareturns augjaishree,Fake-Hate
4451,yehi toh tere tweet se chahiye thaab batta fake farmer protest aur ka sambandh haikhakistani tshirt pehenke aaye haisab agenda samajh mein aaya haiissiliye khakista,Fake-Hate
1211,not for india for jamaat for jamaati jo saare des main chutiyapa aur corona failaati,Fake-Hate
2143,waah re andhbhakton jb tablighijamaat jamaat waalon ko corona hua tha wo desh ke dushman or ab zeejamaatiun ko corona hua hai to warriors gajab kamaal krte hai andhbhakt log bhi zeenewssealkaro,Fake-Hate
3383,sar tan se juda b toh nhi dikhe bhaarat tere tukde aur tumhara favourite shaheen bagh kaand ab sabkuch kse chote se video mei aayega,Fake-NonHate
4217,bhaiyaa uth jao ab to justiceforankita islamicterrorisminindia hindusunderattack hindulivesmatters,NonFake-Hate
1437,sabse khatarnak virus tabligi jamaat hai corona ka sirf bahana hai tabligi jamaat jindagi bhar nahi sudhrenge jai hind jai shri ram,Fake-Hate
